paper_id,title,pdf_url,download_status,reason_if_failed,file_path
P7B36194438,DS@GT at TREC TOT 2025: Bridging Vague Recollection with Fusion Retrieval and Learned Reranking,https://arxiv.org/pdf/2601.15518v2,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P7B36194438_ds_gt_at_trec_tot_2025_bridging_vague_recollection_with_fu.pdf
P5BA17142C7,fact check AI at SemEval-2025 Task 7: Multilingual and Crosslingual Fact-checked Claim Retrieval,https://arxiv.org/pdf/2508.03475v1,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P5BA17142C7_fact_check_ai_at_semeval_2025_task_7_multilingual_and_cros.pdf
PD929527CA7,Text Similarity Technique Using BGE-M3,,not_downloaded,no open-access PDF URL in metadata,
P1733821652,Optimized Text Embedding Models and Benchmarks for Amharic Passage Retrieval,https://arxiv.org/pdf/2505.19356,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P1733821652_optimized_text_embedding_models_and_benchmarks_for_amharic.pdf
PD2B1E529C3,NOWJ@COLIEE 2025: A Multi-stage Framework Integrating Embedding Models and Large Language Models for Legal Retrieval and Entailment,https://arxiv.org/pdf/2509.08025,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/PD2B1E529C3_nowj_coliee_2025_a_multi_stage_framework_integrating_embed.pdf
P9C1153E4EC,Multilingual and cross-lingual information retrieval,,not_downloaded,no open-access PDF URL in metadata,
P41DE99A3CC,Milco: Learned Sparse Retrieval Across Languages via a Multilingual Connector,https://arxiv.org/pdf/2510.00671,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P41DE99A3CC_milco_learned_sparse_retrieval_across_languages_via_a_mult.pdf
P474D3E1629,MTEB-NL and E5-NL: Embedding Benchmark and Models for Dutch,https://arxiv.org/pdf/2509.12340v1,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P474D3E1629_mteb_nl_and_e5_nl_embedding_benchmark_and_models_for_dutch.pdf
P048819CB98,MMTEB: Massive Multilingual Text Embedding Benchmark,https://arxiv.org/pdf/2502.13595,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P048819CB98_mmteb_massive_multilingual_text_embedding_benchmark.pdf
P63444422A7,Llama-Embed-Nemotron-8B: A Universal Text Embedding Model for Multilingual and Cross-Lingual Tasks,https://arxiv.org/pdf/2511.07025,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P63444422A7_llama_embed_nemotron_8b_a_universal_text_embedding_model_f.pdf
P6C61315AD7,Knowledge Retrieval Based on Generative AI,https://arxiv.org/pdf/2501.04635,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P6C61315AD7_knowledge_retrieval_based_on_generative_ai.pdf
PECD2615FC6,Improving BGE-M3 Multilingual Dense Embeddings for Nigerian Low Resource Languages,,not_downloaded,no open-access PDF URL in metadata,
PA21D02E2D7,FaMTEB: Massive Text Embedding Benchmark in Persian Language,http://arxiv.org/pdf/2502.11571v2,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/PA21D02E2D7_famteb_massive_text_embedding_benchmark_in_persian_languag.pdf
PDADC61A0A4,Examining Multilingual Embedding Models Cross-Lingually Through LLM-Generated Adversarial Examples,https://arxiv.org/pdf/2502.08638,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/PDADC61A0A4_examining_multilingual_embedding_models_cross_lingually_th.pdf
PA1D368DEFA,Embedding-Based Multilingual Semantic Search for Geo-Textual Data in Urban Studies,,not_downloaded,no open-access PDF URL in metadata,
P194EBDA7E1,Development and Evaluation of a Retrieval-Augmented Generation-Based Electronic Medical Record Chatbot System,,not_downloaded,no open-access PDF URL in metadata,
PDC5B6EF103,DeepRAG: Building a Custom Hindi Embedding Model for Retrieval Augmented Generation from Scratch,https://arxiv.org/pdf/2503.08213,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/PDC5B6EF103_deeprag_building_a_custom_hindi_embedding_model_for_retrie.pdf
P031CF5D69E,Cross-Lingual Summarization for Low-Resource Languages Using Multilingual Retrieval-Based In-Context Learning,,not_downloaded,no open-access PDF URL in metadata,
P57E96B3B74,Biomedical Literature Q&A System Using Retrieval-Augmented Generation (RAG),https://arxiv.org/pdf/2509.05505,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P57E96B3B74_biomedical_literature_q_a_system_using_retrieval_augmented.pdf
P182B08FA17,Benchmarking and Building Zero-Shot Hindi Retrieval Model with Hindi-BEIR and NLLB-E5,https://aclanthology.org/2025.naacl-long.220.pdf,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P182B08FA17_benchmarking_and_building_zero_shot_hindi_retrieval_model.pdf
P49CE260042,BanglaMedQA and BanglaMMedBench: Evaluating Retrieval-Augmented Generation Strategies for Bangla Biomedical Question Answering,https://arxiv.org/pdf/2511.04560,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P49CE260042_banglamedqa_and_banglammedbench_evaluating_retrieval_augme.pdf
PDBD7A86DA5,A Comparison of SBERT and E5 Encoder for Multilingual Information Retrieval for Low-Resource Indian Languages,,not_downloaded,no open-access PDF URL in metadata,
P9F643D4414,mGTE: Generalized Long-Context Text Representation and Reranking Models for Multilingual Text Retrieval,https://arxiv.org/pdf/2407.19669,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P9F643D4414_mgte_generalized_long_context_text_representation_and_rera.pdf
P56E7E01FCA,jina-embeddings-v3: Multilingual Embeddings With Task LoRA,https://arxiv.org/pdf/2409.10173,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P56E7E01FCA_jina_embeddings_v3_multilingual_embeddings_with_task_lora.pdf
P0B1B39960F,Text Embedding Inversion Security for Multilingual Language Models,https://aclanthology.org/2024.acl-long.422.pdf,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P0B1B39960F_text_embedding_inversion_security_for_multilingual_languag.pdf
P50D6FABBB9,PL-MTEB: Polish Massive Text Embedding Benchmark,https://openreview.net/pdf/566117dbc0fa7443b80eeb35dc75d1b522e758c1.pdf,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P50D6FABBB9_pl_mteb_polish_massive_text_embedding_benchmark.pdf
PB645BC7168,NLLB-E5: A Scalable Multilingual Retrieval Model,http://arxiv.org/pdf/2409.05401v2,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/PB645BC7168_nllb_e5_a_scalable_multilingual_retrieval_model.pdf
P47282B6184,Multilingual E5 Text Embeddings: A Technical Report,https://arxiv.org/pdf/2402.05672v1,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P47282B6184_multilingual_e5_text_embeddings_a_technical_report.pdf
P53F5B16B37,MTEB-French: Resources for French Sentence Embedding Evaluation and Analysis,http://arxiv.org/pdf/2405.20468v2,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P53F5B16B37_mteb_french_resources_for_french_sentence_embedding_evalua.pdf
P59A064F239,BordIRlines: A Dataset for Evaluating Cross-lingual Retrieval Augmented Generation,https://aclanthology.org/2024.wikinlp-1.3.pdf,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P59A064F239_bordirlines_a_dataset_for_evaluating_cross_lingual_retriev.pdf
P7E995CFF61,A Survey on Large Language Models with Multilingualism: Recent Advances and New Frontiers,https://arxiv.org/pdf/2405.10936,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P7E995CFF61_a_survey_on_large_language_models_with_multilingualism_rec.pdf
PC2D1D39BBE,Multi-EuP: The Multilingual European Parliament Dataset for Analysis of Bias in Information Retrieval,https://arxiv.org/pdf/2311.01870v1,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/PC2D1D39BBE_multi_eup_the_multilingual_european_parliament_dataset_for.pdf
PEC4243B35B,Towards multilingual user models for Personalized Multilingual Information Retrieval,,not_downloaded,no open-access PDF URL in metadata,
P8EB2B612C1,Evaluation for Multilingual Information Retrieval Systems,,not_downloaded,no open-access PDF URL in metadata,
PD70CF70F14,Robust Multilingual Information Retrieval,,not_downloaded,no open-access PDF URL in metadata,
PEB56950C48,Multilingual document embedding with sequential neural network models,,not_downloaded,no open-access PDF URL in metadata,
P66922AC323,Multilingual Information Retrieval: A Representation Building Perspective,,not_downloaded,no open-access PDF URL in metadata,
PD412FAA730,Multilingual Information Retrieval,,not_downloaded,no open-access PDF URL in metadata,
PB38E667757,ViCLIP-OT: The First Foundation Vision-Language Model for Vietnamese Image-Text Retrieval with Optimal Transport,https://arxiv.org/pdf/2602.22678,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
P349161E913,MERVIN: A Unified Framework for Multimodal Event Retrieval in Vietnamese News Videos,https://arxiv.org/pdf/2605.16120v1,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
P756990D55F,LLandMark: A Multi-Agent Framework for Landmark-Aware Multimodal Interactive Video Retrieval,https://arxiv.org/pdf/2603.02888v1,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
P9FD76CB2BC,Human-Guided Reasoning with Large Language Models for Vietnamese Speech Emotion Recognition,https://arxiv.org/pdf/2604.01711v1,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
P6E219E9883,Efficient English-Vietnamese Medical Machine Translation: Insights from the VLSP 2025 Shared Task,,not_downloaded,no open-access PDF URL in metadata,
P4A76B06E89,Benchmarking Vietnamese Legal Knowledge of Large Language Models,https://openreview.net/pdf/62c88f2a95ab35c0081198ecfe4e632718347ece.pdf,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
PCBB7EB602E,Unsupervised Clustering of Vietnamese Positive and Negative News Using PhoBERT and DBSCAN,,not_downloaded,no open-access PDF URL in metadata,
P2B2C576FDC,Topic classification of vietnamese product reviews in e-commerce using PhoBERT,,not_downloaded,no open-access PDF URL in metadata,
PD7328F84F4,Navigating multilingual worlds: Vietnamese immigrant children's translanguaging practices and family resilience in Taiwan,,not_downloaded,no open-access PDF URL in metadata,
P08DDD06BEA,Multilingual LLM Prompting Strategies for Medical English-Vietnamese Machine Translation,https://arxiv.org/pdf/2509.15640,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
P3C126D42F6,INTENTION AND BEHAVIOR OF USING E5 BIOGASOLINE: A CASE STUDY OF VIETNAMESE CONSUMERS,,not_downloaded,no open-access PDF URL in metadata,
P38F95290CD,Exploring the Fine-Tuning of PhoBERT for Vietnamese Toxic Language Detection,,not_downloaded,no open-access PDF URL in metadata,
PF67676F01A,Emotion Recognition from Vietnamese Text Using PhoBERT and BiLSTM,,not_downloaded,no open-access PDF URL in metadata,
P27226588BD,Detecting AI-Generated Vietnamese News Articles with Multilingual-E5 and BERT,,not_downloaded,no open-access PDF URL in metadata,
P3DD80F8D83,BERT-based model for Vietnamese Fact Verification Dataset,,not_downloaded,no open-access PDF URL in metadata,
P0EB2283659,Att2Search: an Attribute-based Pedestrian Search,,not_downloaded,no open-access PDF URL in metadata,
PC3DBEDBCE2,An Encoder-Integrated PhoBERT with Graph Attention for Vietnamese Token-Level Classification,https://arxiv.org/pdf/2510.11537v1,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
P0F8CDA7735,ADVANCING EMOTION RECOGNITION IN VIETNAMESE: A PHOBERT-BASED APPROACH FOR ENHANCED INTERACTION,https://jst.tnu.edu.vn/jst/article/download/12889/pdf,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
P3ED586ACAE,A Multimodal Retrieval-Augmented Generation Pipeline for Empathetic Psychological Counseling Chatbots,,not_downloaded,no open-access PDF URL in metadata,
PEB4440B4FD,A Large-Scale Benchmark for Vietnamese Sentence Paraphrases,https://aclanthology.org/2025.findings-naacl.59.pdf,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
P985151B089,A Dialogue-Based Multimodal Retrieval Framework for Vietnamese E-Commerce RAG System,,not_downloaded,no open-access PDF URL in metadata,
PED21921D83,Vi-Mistral-X: Building a Vietnamese Language Model with Advanced Continual Pre-training,https://arxiv.org/pdf/2403.15470v1,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
PF883EE8C7C,Tabular text embedding for Vietnamese text-based person search,,not_downloaded,no open-access PDF URL in metadata,
P8A3D61FEDC,"Numerical reasoning reading comprehension on Vietnamese COVID-19 news: task, corpus, and challenges",https://link.springer.com/content/pdf/10.1007/s00521-024-09744-5.pdf,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
PB2CB3065FA,Improving Vietnamese-English Medical Machine Translation,https://openreview.net/pdf/39e4cae5b74a2e64c3d9e8c580fd7d27dd43cd8e.pdf,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
P70F1CE3933,IMPROVING PERFORMANCE OF VIETNAMESE SPEAKER RECOGNITION USING TRANSFER LEARNING AND ENSEMBLE EMBEDDING,,not_downloaded,no open-access PDF URL in metadata,
P08FD9B70B8,Extended Producer Responsibility – Building The Legal Framework in Vietnamese Law on Environmental Protection From International Experience,,not_downloaded,no open-access PDF URL in metadata,
P0784863316,Visualising Third Culture Kids’ identity through language portraits: the case of Vietnamese sojourner children in Australia,,not_downloaded,no open-access PDF URL in metadata,
PCB20FF9A93,VinaLLaMA: LLaMA-based Vietnamese Foundation Model,https://arxiv.org/pdf/2312.11011v1,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
P08B5A1D224,Vietnamese Hate and Offensive Detection using PhoBERT-CNN and Social Media Streaming Data,https://link.springer.com/content/pdf/10.1007/s00521-022-07745-w.pdf,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
P7FE5CC278E,"ViGPTQA - State-of-the-Art LLMs for Vietnamese Question Answering: System Overview, Core Models Training, and Evaluations",https://aclanthology.org/2023.emnlp-industry.70.pdf,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
P5FDD5E1EB5,ViCLEVR: a visual reasoning dataset and hybrid multimodal fusion model for visual question answering in Vietnamese,,not_downloaded,no open-access PDF URL in metadata,
P02BB2246F5,"OpenViVQA: Task, Dataset, and Multimodal Fusion Models for Visual Question Answering in Vietnamese",https://arxiv.org/pdf/2305.04183,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
P7F77A6A6F7,Exploring Hierarchical Multi-Label Text Classification Models using Attention-Based Approaches for Vietnamese language,,not_downloaded,no open-access PDF URL in metadata,
PA7424758F1,Contrastive Hierarchical Discourse Graph for Vietnamese Extractive Multi-Document Summarization,,not_downloaded,no open-access PDF URL in metadata,
P92E977BF2E,Combining Diffusion Model and PhoBERT for Vietnamese Text-to-Image Generation,https://ieeexplore.ieee.org/iel7/10471760/10471767/10471860.pdf,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
P979A9CC234,Abusive Span Detection for Vietnamese Narrative Texts,http://arxiv.org/pdf/2312.07831v1,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
P6235886588,AGAIN: A Multimodal Human-Centric Event Retrieval System using dual image-to-text representations,,not_downloaded,no open-access PDF URL in metadata,
P7963679835,A method for text-based person search in Vietnamese language based on correlation filtering,https://ieeexplore.ieee.org/iel7/10288584/10288633/10288763.pdf,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
P620B7B843A,Vietnamese Sentence Paraphrase Identification Using Sentence-BERT and PhoBERT,,not_downloaded,no open-access PDF URL in metadata,
PD2C6BE1D19,ViT5: Pretrained Text-to-Text Transformer for Vietnamese Language Generation,https://aclanthology.org/2022.naacl-srw.18.pdf,not_downloaded,publication metadata does not indicate scoped multilingual/Vietnamese retrieval relevance,
P88958B68D2,ViMRC VLSP 2021: XLM-R versus PhoBERT on Vietnamese Machine Reading Comprehension,,not_downloaded,no open-access PDF URL in metadata,
